会話ID,長単位連番,文頭フラグ,話者ラベル,書字形,語彙素読み,語彙素,品詞,活用型,活用形,語種,語彙素細分類,語形,タグ付き書字形,発音形出現形,発音,発話単位の開始時刻,発話単位の終了時刻,転記単位の開始時刻,転記単位の終了時刻,仮名,文節頭フラグ
C001_003,5,B,IC02_夏樹,なん,ナニ,何,代名詞,,,和,,ナン,なん,ナン,ナン,1.693,2.453,1.693,2.453,0,B
C001_003,6,I,IC02_夏樹,です,デス,です,助動詞,助動詞-デス,終止形-一般,和,,デス,です,デス,デス,1.693,2.453,1.693,2.453,0,I
C001_003,7,I,IC02_夏樹,か,カ,か,助詞-終助詞,,,和,,カ,か。,カ,カ,1.693,2.453,1.693,2.453,0,I
C001_003,28,B,IC02_夏樹,うん,ウン,うん,感動詞-一般,,,和,,ウン,うん。,ウン,ウン,3.491,4.038,3.491,4.038,0,B
C001_003,29,B,IC02_夏樹,好き,スキ,好き,形状詞-一般,,,和,,スキ,好き,スキ,スキ,9.426,10.276,9.426,10.276,0,B
C001_003,30,I,IC02_夏樹,じゃない,デハナイ,ではない,助動詞,形容詞,終止形-一般,和,,ジャナイ,じゃない,ジャナイ,ジャナイ,9.426,10.276,9.426,10.276,0,I
C001_003,31,I,IC02_夏樹,ね,ネ,ね,助詞-終助詞,,,和,,ネ,ね。,ネ,ネ,9.426,10.276,9.426,10.276,0,I
C001_003,35,B,IC02_夏樹,甘い,アマイ,甘い,形容詞-一般,形容詞,終止形-一般,和,,アマイ,(L 甘い)。,アマイ,アマイ,10.663,11.12,10.663,11.12,0,B
C001_003,64,B,IC02_夏樹,うん,ウン,うん,感動詞-一般,,,和,,ウン,うん。,ウン,ウン,21.398,21.721,21.398,21.721,0,B
C001_003,85,B,IC02_夏樹,うん,ウン,うん,感動詞-一般,,,和,,ウン,うん。,ウン,ウン,29.248,29.624,29.248,29.624,0,B
C001_003,94,B,IC02_夏樹,うん,ウン,うん,感動詞-一般,,,和,,ウン,うん ,ウン,ウン,32.098,32.641,32.098,32.641,0,B
C001_003,95,I,IC02_夏樹,うん,ウン,うん,感動詞-一般,,,和,,ウン,うん。,ウン,ウン,32.098,32.641,32.098,32.641,0,B
C001_003,96,B,IC02_夏樹,岩牡蠣スフレ,イワガキスフレ,岩牡蠣スフレ,名詞-普通名詞-一般,,,混,,イワガキスフレ,(L (R 岩牡蠣スフレ))。,イワガキスフレ,イワガキスフレ,33.493,34.627,33.493,34.627,1,B
C001_003,98,B,IC02_夏樹,岩牡蠣スフレ,イワガキスフレ,岩牡蠣スフレ,名詞-普通名詞-一般,,,混,,イワガキスフレ,(R 岩牡蠣スフレ),イワガキスフレ,イワガキスフレ,34.777,36.535,34.777,35.849,1,B
C001_003,99,I,IC02_夏樹,は,ハ,は,助詞-係助詞,,,和,,ハ,は,ワ,ワ,34.777,36.535,34.777,35.849,0,I
C001_003,100,I,IC02_夏樹,ちょっと,チョット,一寸,副詞,,,和,,チョット,ちょっと,チョット,チョット,34.777,36.535,34.777,35.849,0,B
