会話ID,長単位連番,文頭フラグ,話者ラベル,書字形,語彙素読み,語彙素,品詞,活用型,活用形,語種,語彙素細分類,語形,タグ付き書字形,発音形出現形,発音,発話単位の開始時刻,発話単位の終了時刻,転記単位の開始時刻,転記単位の終了時刻,仮名,文節頭フラグ
C002_004,1,B,IC01_日野,オケイ,オーケー,オーケー,名詞-普通名詞-一般,,,外,okay,オケイ,オケイ:。,オケイ,オケイー,0.951,1.680,0.951,1.680,0,B
C002_004,2,B,IC01_日野,◇,,,形態論情報付与対象外,,,,,,(L ◇),◇,◇,4.628,6.206,4.628,6.206,0,B
C002_004,3,B,IC03_正和,◇,,,形態論情報付与対象外,,,,,,(L ◇),◇,◇,5.027,5.471,5.027,5.471,0,B
C002_004,4,B,IC01_日野,お返し,オカエス,御返す,動詞-一般,五段-サ行,連用形-一般,和,,オカエス,お返し,オカエシ,オカエシ,8.820,9.735,8.820,9.735,0,B
C002_004,5,I,IC01_日野,な,ダ,だ,助動詞,助動詞-ダ,連体形-一般,和,,ダ,な,ナ,ナ,8.820,9.735,8.820,9.735,0,I
C002_004,6,I,IC01_日野,んだ,ノダ,のだ,助動詞,助動詞-ダ,終止形-一般,和,,ンダ,んだ,ンダ,ンダ,8.820,9.735,8.820,9.735,0,I
C002_004,7,I,IC01_日野,って,ッテ,って,助詞-副助詞,,,和,,ッテ,って。,ッテ,ッテ,8.820,9.735,8.820,9.735,0,I
C002_004,8,B,IC01_日野,苺,イチゴ,苺,名詞-普通名詞-一般,,,和,,イチゴ,苺 ,イチゴ,イチゴ,10.639,11.279,10.639,11.279,0,B
C002_004,9,I,IC01_日野,持っ,モツ,持つ,動詞-一般,五段-タ行,連用形-促音便,和,,モツ,持っ,モッ,モッ,10.639,11.279,10.639,11.279,0,B
C002_004,10,I,IC01_日野,て,テ,て,助詞-接続助詞,,,和,,テ,て,テ,テ,10.639,11.279,10.639,11.279,0,I
C002_004,11,I,IC01_日野,き,クル,来る,動詞-一般,カ行変格,連用形-一般,和,,クル,き,キ,キ,10.639,11.279,10.639,11.279,0,B
C002_004,12,I,IC01_日野,た,タ,た,助動詞,助動詞-タ,終止形-一般,和,,タ,た。,タ,タ,10.639,11.279,10.639,11.279,0,I
C002_004,13,B,IC03_正和,うん,ウン,うん,感動詞-一般,,,和,,ウン,うん。,ウン,ウン,12.197,12.451,12.197,12.451,0,B
C002_004,14,B,IC03_正和,甘,アマイ,甘い,形容詞-一般,形容詞,語幹-一般,和,,アマイ,甘,アマ,アマ,13.341,14.146,13.341,14.146,0,B
C002_004,15,I,IC03_正和,ス,,,言いよどみ,,,,,,(D ス) ,ス,ス,13.341,14.146,13.341,14.146,0,B
C002_004,16,I,IC03_正和,甘い,アマイ,甘い,形容詞-一般,形容詞,連体形-一般,和,,アマイ,甘い,アマイ,アマイ,13.341,14.146,13.341,14.146,0,B
C002_004,17,I,IC03_正和,の,ノ,の,助詞-終助詞,,,和,,ノ,の?。,ノ,ノ,13.341,14.146,13.341,14.146,0,I
C002_004,18,B,IC03_正和,これ,コレ,此れ,代名詞,,,和,,コレ,これ。,コレ,コレ,14.146,14.349,14.146,14.349,0,B
C002_004,19,B,IC01_日野,わかん,ワカル,分かる,動詞-一般,五段-ラ行,未然形-撥音便,和,,ワカル,わかん,ワカン,ワカン,15.866,16.506,15.866,16.506,0,B
C002_004,20,I,IC01_日野,ない,ナイ,ない,助動詞,助動詞-ナイ,終止形-一般,和,,ナイ,ない。,ナイ,ナイ,15.866,16.506,15.866,16.506,0,I
C002_004,21,B,IC01_日野,おばあちゃんとこ,オババチャントコロ,御婆ちゃん所,名詞-普通名詞-一般,,,和,,オバアチャントコ,おばあちゃんとこ,オバーチャントコ,オバーチャントコ,17.903,19.745,17.903,19.745,0,B
C002_004,22,I,IC01_日野,持っ,モツ,持つ,動詞-一般,五段-タ行,連用形-促音便,和,,モツ,持っ,モッ,モッ,17.903,19.745,17.903,19.745,0,B
