会話ID,長単位連番,文頭フラグ,話者ラベル,書字形,語彙素読み,語彙素,品詞,活用型,活用形,語種,語彙素細分類,語形,タグ付き書字形,発音形出現形,発音,発話単位の開始時刻,発話単位の終了時刻,転記単位の開始時刻,転記単位の終了時刻,仮名,文節頭フラグ
K001_004,1,B,IC01_萌,◇,,,形態論情報付与対象外,,,,,,(L ◇),◇,◇,0.236,1.046,0.236,1.046,0,B
K001_004,2,B,IC02_綾子,◇,,,形態論情報付与対象外,,,,,,(L ◇),◇,◇,0.314,1.752,0.314,1.752,0,B
K001_004,3,B,IC01_萌,知っ,シル,知る,動詞-一般,五段-ラ行,連用形-促音便,和,,シル,知っ,シッ,シッ,1.046,1.763,1.046,1.763,0,B
K001_004,4,I,IC01_萌,てる,テル,てる,助動詞,下一段-タ行,終止形-一般,和,,テル,てる?。,テル,テル,1.046,1.763,1.046,1.763,0,I
K001_004,5,B,IC01_萌,◇,,,形態論情報付与対象外,,,,,,(L ◇),◇,◇,2.049,2.701,2.049,2.701,0,B
K001_004,6,B,IC01_萌,◇,,,形態論情報付与対象外,,,,,,(L ◇),◇,◇,4.017,4.602,4.017,4.602,0,B
K001_004,7,B,IC02_綾子,あたし,ワタシ,私,代名詞,,,和,,アタシ,あたし,アタシ,アタシ,4.371,7.754,4.371,7.754,0,B
K001_004,8,I,IC02_綾子,もう,モウ,もう,副詞,,,和,,モウ,もう,モー,モー,4.371,7.754,4.371,7.754,0,I
K001_004,9,I,IC02_綾子,ね,ネ,ね,助詞-終助詞,,,和,,ネ,ね:。,ネ,ネー,4.371,7.754,4.371,7.754,0,I
K001_004,10,B,IC01_萌,この,コノ,此の,連体詞,,,和,,コノ,この,コノ,コノ,4.602,5.606,4.602,5.606,0,B
K001_004,11,I,IC01_萌,環境,カンキョウ,環境,名詞-普通名詞-一般,,,漢,,カンキョウ,環境。,カンキョー,カンキョー,4.602,5.606,4.602,5.606,0,B
K001_004,12,B,IC01_萌,本当,ホントウ,本当,名詞-普通名詞-一般,,,漢,,ホントウ,(K ホ:ン|本)当。,ホントー,ホーントー,6.866,8.282,6.866,8.282,0,B
K001_004,13,B,IC02_綾子,どう,ドウ,どう,副詞,,,和,,ドウ,どう,ドー,ドー,9.328,11.601,9.328,11.601,0,B
K001_004,14,I,IC02_綾子,な,ダ,だ,助動詞,助動詞-ダ,連体形-一般,和,,ダ,な,ナ,ナ,9.328,11.601,9.328,11.601,0,I
K001_004,15,I,IC02_綾子,んだろう,ノダ,のだ,助動詞,助動詞-ダ,意志推量形,和,,ンダ,んだろう,ンダロー,ンダロー,9.328,11.601,9.328,11.601,0,I
K001_004,16,I,IC02_綾子,な,ナ,な,助詞-終助詞,,,和,,ナ,な:。,ナ,ナー,9.328,11.601,9.328,11.601,0,I
K001_004,17,B,IC01_萌,ね,ネ,ね,助詞-終助詞,,,和,,ネ,ね:。,ネ,ネー,10.351,11.505,10.351,11.505,0,B
K001_004,18,B,IC01_萌,や,イヤ,嫌,形状詞-一般,,,和,,ヤ,や,ヤ,ヤ,11.505,12.865,11.505,12.865,0,B
K001_004,19,I,IC01_萌,だ,ダ,だ,助動詞,助動詞-ダ,終止形-一般,和,,ダ,だ ,ダ,ダ,11.505,12.865,11.505,12.865,0,I
K001_004,20,I,IC01_萌,や,イヤ,嫌,形状詞-一般,,,和,,ヤ,や,ヤ,ヤ,11.505,12.865,11.505,12.865,0,B
K001_004,21,I,IC01_萌,だ,ダ,だ,助動詞,助動詞-ダ,終止形-一般,和,,ダ,だ:。,ダ,ダー,11.505,12.865,11.505,12.865,0,I
K001_004,22,B,IC01_萌,ほんと,ホントウ,本当,名詞-普通名詞-一般,,,漢,,ホント,(W フント|ほんと)。,ホント,フント,13.275,14.082,13.275,14.082,0,B
K001_004,23,B,IC01_萌,さ,サ,さ,助詞-終助詞,,,和,,サ,さ。,サ,サ,15.280,15.591,15.280,15.591,0,B
K001_004,24,B,IC01_萌,どこ,ドコ,何処,代名詞,,,和,,ドコ,どこ,ドコ,ドコ,15.591,16.397,15.591,16.397,0,B
K001_004,25,I,IC01_萌,行こう,イク,行く,動詞-一般,五段-カ行,意志推量形,和,,イク,行こう,イコー,イコー,15.591,16.397,15.591,16.397,0,B
K001_004,26,I,IC01_萌,か,カ,か,助詞-終助詞,,,和,,カ,か,カ,カ,15.591,16.397,15.591,16.397,0,I
K001_004,27,I,IC01_萌,な,ナ,な,助詞-終助詞,,,和,,ナ,な。,ナ,ナ,15.591,16.397,15.591,16.397,0,I
K001_004,28,B,IC01_萌,はー,ハア,はあ,感動詞-一般,,,和,,ハア,はー。,ハー,ハー,19.578,20.478,19.578,20.478,0,B
K001_004,29,B,IC01_萌,サンフランシスコ,サンフランシスコ,サンフランシスコ,名詞-固有名詞-地名-一般,,,固,,サンフランシスコ,サンフランシスコ,サンフランシスコ,サンフランシスコ,21.291,22.892,21.291,22.892,0,B
K001_004,30,I,IC01_萌,か,カ,か,助詞-終助詞,,,和,,カ,か,カ,カ,21.291,22.892,21.291,22.892,0,I
K001_004,31,I,IC01_萌,な,ナ,な,助詞-終助詞,,,和,,ナ,な。,ナ,ナ,21.291,22.892,21.291,22.892,0,I
K001_004,32,B,IC01_萌,◇,,,形態論情報付与対象外,,,,,,(L ◇),◇,◇,23.116,23.903,23.116,23.903,0,B
K001_004,33,B,IC02_綾子,◇,,,形態論情報付与対象外,,,,,,(L ◇),◇,◇,23.905,24.927,23.905,24.927,0,B
K001_004,34,B,IC01_萌,ってゆうか,ッテイウカ,って言うか,接続詞,,,和,,ッテユウカ,ってゆうか,ッテユーカ,ッテユーカ,24.598,27.659,24.598,27.659,0,B
K001_004,35,I,IC01_萌,今年,コトシ,今年,副詞,,,和,,コトシ,今年,コトシ,コトシ,24.598,27.659,24.598,27.659,0,B
K001_004,36,I,IC01_萌,奈津ちゃん,ナツチャン,奈津ちゃん,名詞-固有名詞-人名-名,,,固,,ナツチャン,(R 奈津)ちゃん,ナツチャン,ナツチャン,24.598,27.659,24.598,27.659,1,B
K001_004,37,I,IC01_萌,一緒,イッショ,一緒,名詞-普通名詞-一般,,,漢,,イッショ,一緒,イッショ,イッショ,24.598,27.659,24.598,27.659,0,B
K001_004,38,I,IC01_萌,に,ニ,に,助詞-格助詞,,,和,,ニ,に,ニ,ニ,24.598,27.659,24.598,27.659,0,I
K001_004,39,I,IC01_萌,海外,カイガイ,海外,名詞-普通名詞-一般,,,漢,,カイガイ,海外,カイガイ,カイガイ,24.598,27.659,24.598,27.659,0,B
K001_004,40,I,IC01_萌,行っ,イク,行く,動詞-一般,五段-カ行,連用形-促音便,和,,イク,行っ,イッ,イッ,24.598,27.659,24.598,27.659,0,B
K001_004,41,I,IC01_萌,てくれん,テクレル,てくれる,助動詞,下一段-ラ行,連体形-撥音便,和,,テクレル,てくれん,テクレン,テクレン,24.598,27.659,24.598,27.659,0,I
K001_004,42,I,IC01_萌,の,ノ,の,助詞-準体助詞,,,和,,ノ,の,ノ,ノ,24.598,27.659,24.598,27.659,0,I
K001_004,43,I,IC01_萌,か,カ,か,助詞-終助詞,,,和,,カ,か,カ,カ,24.598,27.659,24.598,27.659,0,I
K001_004,44,I,IC01_萌,な,ナ,な,助詞-終助詞,,,和,,ナ,な:。,ナ,ナー,24.598,27.659,24.598,27.659,0,I
K001_004,45,B,IC02_綾子,去年,キョネン,去年,副詞,,,漢,,キョネン,去年,キョネン,キョネン,28.508,29.839,28.508,29.839,0,B
K001_004,46,I,IC02_綾子,奈津ちゃん,ナツチャン,奈津ちゃん,名詞-固有名詞-人名-名,,,固,,ナツチャン,(R 奈津)ちゃん ,ナツチャン,ナツチャン,28.508,29.839,28.508,29.839,1,B
K001_004,47,I,IC02_綾子,どっ,ドコ,何処,代名詞,,,和,,ドッ,どっ,ドッ,ドッ,28.508,29.839,28.508,29.839,0,B
K001_004,48,I,IC02_綾子,か,カ,か,助詞-副助詞,,,和,,カ,か ,カ,カ,28.508,29.839,28.508,29.839,0,I
K001_004,49,I,IC02_綾子,どう,ドウ,どう,副詞,,,和,,ドウ,どう,ドー,ドー,28.508,29.839,28.508,29.839,0,B
K001_004,50,I,IC02_綾子,し,スル,する,動詞-一般,サ行変格,連用形-一般,和,,スル,し,シ,シ,28.508,29.839,28.508,29.839,0,B
K001_004,51,I,IC02_綾子,た,タ,た,助動詞,助動詞-タ,連体形-一般,和,,タ,た,タ,タ,28.508,29.839,28.508,29.839,0,I
K001_004,52,I,IC02_綾子,の,ノ,の,助詞-終助詞,,,和,,ノ,(U の)。,ノ,ノ,28.508,29.839,28.508,29.839,0,I
K001_004,53,B,IC02_綾子,どっ,ドコ,何処,代名詞,,,和,,ドッ,どっ,ドッ,ドッ,29.839,30.624,29.839,30.624,0,B
K001_004,54,I,IC02_綾子,か,カ,か,助詞-副助詞,,,和,,カ,か,カ,カ,29.839,30.624,29.839,30.624,0,I
K001_004,55,I,IC02_綾子,行っ,イク,行く,動詞-一般,五段-カ行,連用形-促音便,和,,イク,行っ,イッ,イッ,29.839,30.624,29.839,30.624,0,B
K001_004,56,I,IC02_綾子,た,タ,た,助動詞,助動詞-タ,連体形-一般,和,,タ,た,タ,タ,29.839,30.624,29.839,30.624,0,I
K001_004,57,I,IC02_綾子,の,ノ,の,助詞-終助詞,,,和,,ノ,の?。,ノ,ノ,29.839,30.624,29.839,30.624,0,I
K001_004,58,B,IC01_萌,去年,キョネン,去年,副詞,,,漢,,キョネン,去年:,キョネン,キョネンー,30.749,36.362,30.749,31.878,0,B
K001_004,59,I,IC01_萌,去年,キョネン,去年,副詞,,,漢,,キョネン,(L 去年 ,キョネン,キョネン,30.749,36.362,31.952,33.883,0,I
K001_004,60,I,IC01_萌,そう,ソウ,そう,副詞,,,和,,ソウ,そう),ソー,ソー,30.749,36.362,31.952,33.883,0,B
K001_004,61,I,IC01_萌,あたし,ワタシ,私,代名詞,,,和,,アタシ,あたし,アタシ,アタシ,30.749,36.362,31.952,33.883,0,B
K001_004,62,I,IC01_萌,が,ガ,が,助詞-格助詞,,,和,,ガ,が,ガ,ガ,30.749,36.362,31.952,33.883,0,I
K001_004,63,I,IC01_萌,わがまま,ワガママ,我が儘,形状詞-一般,,,和,,ワガママ,わがまま,ワガママ,ワガママ,30.749,36.362,31.952,33.883,0,B
K001_004,64,I,IC01_萌,で,ダ,だ,助動詞,助動詞-ダ,連用形-一般,和,,ダ,で,デ,デ,30.749,36.362,31.952,33.883,0,I
K001_004,65,I,IC01_萌,フィンランド,フィンランド,フィンランド,名詞-固有名詞-地名-国,,,固,Finland,フィンランド,フィンランド,フィンランド,フィンランド,30.749,36.362,34.357,36.362,0,B
K001_004,66,I,IC01_萌,に,ニ,に,助詞-格助詞,,,和,,ニ,に,ニ,ニ,30.749,36.362,34.357,36.362,0,I
K001_004,67,I,IC01_萌,行こっ,イク,行く,動詞-一般,五段-カ行,意志推量形,和,,イク,行こっ,イコッ,イコッ,30.749,36.362,34.357,36.362,0,B
