会話ID,長単位連番,文頭フラグ,話者ラベル,書字形,語彙素読み,語彙素,品詞,活用型,活用形,語種,語彙素細分類,語形,タグ付き書字形,発音形出現形,発音,発話単位の開始時刻,発話単位の終了時刻,転記単位の開始時刻,転記単位の終了時刻,仮名,文節頭フラグ
K008_001a,1,B,IC02_鶴賀,これ,コレ,此れ,代名詞,,,和,,コレ,これ ,コレ,コレ,0.160,1.308,0.160,1.308,0,B
K008_001a,2,I,IC02_鶴賀,久美ちゃん,クミチャン,久美ちゃん,名詞-固有名詞-人名-名,,,固,,クミチャン,(R 久美)ちゃん ,クミチャン,クミチャン,0.160,1.308,0.160,1.308,1,B
K008_001a,3,I,IC02_鶴賀,注い,ツグ,注ぐ,動詞-一般,五段-ガ行,連用形-イ音便,和,,ツグ,(Y ツイ|注い),ツイ,ツイ,0.160,1.308,0.160,1.308,0,B
K008_001a,4,I,IC02_鶴賀,で,テ,て,助詞-接続助詞,,,和,,デ,で?。,デ,デ,0.160,1.308,0.160,1.308,0,I
K008_001a,5,B,IC03_久美,はい,ハイ,はい,感動詞-一般,,,和,,ハイ,はい。,ハイ,ハイ,1.365,1.519,1.365,1.519,0,B
K008_001a,6,B,IC03_久美,はい,ハイ,はい,感動詞-一般,,,和,,ハイ,はい。,ハイ,ハイ,2.132,2.306,2.132,2.306,0,B
K008_001a,7,B,IC03_久美,じゃあ,デ,で,接続詞,,,和,,ジャア,じゃあ,ジャー,ジャー,2.339,3.821,2.339,2.57,0,B
K008_001a,8,I,IC03_久美,深石さん,フカイシサン,深石さん,名詞-固有名詞-人名-姓,,,固,,フカイシサン,(R 深石)さん,フカイシサン,フカイシサン,2.339,3.821,2.9,3.821,1,B
K008_001a,9,I,IC03_久美,に,ニ,に,助詞-格助詞,,,和,,ニ,に。,ニ,ニ,2.339,3.821,2.9,3.821,0,I
K008_001a,10,B,IC01_深石,あー,アア,ああ,感動詞-一般,,,和,,アア,あー。,アー,アー,2.873,3.365,2.873,3.365,0,B
K008_001a,11,B,IC01_深石,すいません,スミマセン,済みません,感動詞-一般,,,和,,スイマセヌ,すいません。,スイマセン,スイマセン,3.365,4.036,3.365,4.036,0,B
K008_001a,12,B,IC02_鶴賀,うん,ウン,うん,感動詞-一般,,,和,,ウン,うん。,ウン,ウン,3.483,3.800,3.483,3.800,0,B
K008_001a,13,B,IC01_深石,ありがとう,アリガトウ,有り難う,感動詞-一般,,,和,,アリガトウ,ありがとう,アリガトー,アリガトー,4.036,5.503,4.036,5.503,0,B
K008_001a,14,I,IC01_深石,ござい,ゴザル,御座る,動詞-一般,五段-ラ行,連用形-イ音便,混,,ゴザル,ござい,ゴザイ,ゴザイ,4.036,5.503,4.036,5.503,0,B
K008_001a,15,I,IC01_深石,ます,マス,ます,助動詞,助動詞-マス,終止形-一般,和,,マス,ま:(T す)。,マス,マース,4.036,5.503,4.036,5.503,0,I
K008_001a,16,B,IC01_深石,すいません,スミマセン,済みません,感動詞-一般,,,和,,スイマセヌ,すいません。,スイマセン,スイマセン,11.669,12.487,11.669,12.487,0,B
K008_001a,17,B,IC03_久美,おー,オオ,おお,感動詞-一般,,,和,,オオ,(T おー)。,オー,オー,12.046,12.265,12.046,12.265,0,B
K008_001a,18,B,IC03_久美,あ,アッ,あっ,感動詞-一般,,,和,,ア,あ。,ア,ア,12.390,12.475,12.390,12.475,0,B
K008_001a,19,B,IC03_久美,じゃ,デ,で,接続詞,,,和,,ジャ,じゃ ,ジャ,ジャ,12.475,14.517,12.475,14.517,0,B
K008_001a,20,I,IC03_久美,わたし,ワタシ,私,代名詞,,,和,,ワタシ,わたし ,ワタシ,ワタシ,12.475,14.517,12.475,14.517,0,B
K008_001a,21,I,IC03_久美,わたし,ワタシ,私,代名詞,,,和,,ワタシ,わたし,ワタシ,ワタシ,12.475,14.517,12.475,14.517,0,B
K008_001a,22,I,IC03_久美,も,モ,も,助詞-係助詞,,,和,,モ,も,モ,モ,12.475,14.517,12.475,14.517,0,I
K008_001a,23,I,IC03_久美,少し,スコシ,少し,副詞,,,和,,スコシ,少し,スコシ,スコシ,12.475,14.517,12.475,14.517,0,B
K008_001a,24,I,IC03_久美,いただこっ,イタダク,頂く,動詞-一般,五段-カ行,意志推量形,和,,イタダク,いただこっ,イタダコッ,イタダコッ,12.475,14.517,12.475,14.517,0,B
K008_001a,25,I,IC03_久美,か,カ,か,助詞-終助詞,,,和,,カ,か,カ,カ,12.475,14.517,12.475,14.517,0,I
K008_001a,26,I,IC03_久美,な,ナ,な,助詞-終助詞,,,和,,ナ,な。,ナ,ナ,12.475,14.517,12.475,14.517,0,I
K008_001a,27,B,IC01_深石,じゃあ,デ,で,接続詞,,,和,,ジャア,じゃあ。,ジャー,ジャー,12.583,12.794,12.583,12.794,0,B
K008_001a,28,B,IC01_深石,どれ,ドレ,何れ,代名詞,,,和,,ドレ,(U どれ)。,ドレ,ドレ,13.065,13.389,13.065,13.389,0,B
K008_001a,29,B,IC01_深石,はい,ハイ,はい,感動詞-一般,,,和,,ハイ,はい,ハイ,ハイ,13.782,15.055,13.782,14.057,0,B
K008_001a,30,I,IC01_深石,はーい,ハイ,はい,感動詞-一般,,,和,,ハアイ,はーい。,ハーイ,ハーイ,13.782,15.055,14.125,15.055,0,B
K008_001a,31,B,IC03_久美,最初,サイショ,最初,名詞-普通名詞-一般,,,漢,,サイショ,最初,サイショ,サイショ,14.517,16.049,14.517,15.041,0,B
K008_001a,32,I,IC03_久美,は,ハ,は,助詞-係助詞,,,和,,ハ,は,ワ,ワ,14.517,16.049,14.517,15.041,0,I
K008_001a,33,I,IC03_久美,ノンアル,ノンアル,ノンアル,名詞-普通名詞-一般,,,外,,ノンアル,ノン(L アル),ノンアル,ノンアル,14.517,16.049,15.359,16.049,0,B
K008_001a,34,I,IC03_久美,で,デ,で,助詞-格助詞,,,和,,デ,で。,デ,デ,14.517,16.049,15.359,16.049,0,I
K008_001a,35,B,IC03_久美,あ,アッ,あっ,感動詞-一般,,,和,,ア,あ。,ア,ア,16.321,16.416,16.321,16.416,0,B
K008_001a,36,B,IC03_久美,すきっ腹,スキバラ,空き腹,名詞-普通名詞-一般,,,和,,スキッパラ,すきっ腹,スキッパラ,スキッパラ,16.416,17.369,16.416,17.369,0,B
K008_001a,37,I,IC03_久美,だ,ダ,だ,助動詞,助動詞-ダ,終止形-一般,和,,ダ,(L だ,ダ,ダ,16.416,17.369,16.416,17.369,0,I
K008_001a,38,I,IC03_久美,から,カラ,から,助詞-接続助詞,,,和,,カラ,から)。,カラ,カラ,16.416,17.369,16.416,17.369,0,I
K008_001a,39,B,IC01_深石,はーい,ハイ,はい,感動詞-一般,,,和,,ハアイ,(T はーい)。,ハーイ,ハーイ,16.581,17.164,16.581,17.164,0,B
K008_001a,40,B,IC01_深石,そう,ソウ,そう,副詞,,,和,,ソウ,そう,ソー,ソー,17.390,18.542,17.390,18.542,0,B
K008_001a,41,I,IC01_深石,です,デス,です,助動詞,助動詞-デス,終止形-一般,和,,デス,です,デス,デス,17.390,18.542,17.390,18.542,0,I
