会話ID,長単位連番,文頭フラグ,話者ラベル,書字形,語彙素読み,語彙素,品詞,活用型,活用形,語種,語彙素細分類,語形,タグ付き書字形,発音形出現形,発音,発話単位の開始時刻,発話単位の終了時刻,転記単位の開始時刻,転記単位の終了時刻,仮名,文節頭フラグ
K008_001b,1,B,IC01_深石,だいじょぶ,ダイジョウブ,大丈夫,形状詞-一般,,,漢,,ダイジョブ,だいじょぶ,ダイジョブ,ダイジョブ,1.075,2.027,1.075,2.027,0,B
K008_001b,2,I,IC01_深石,です,デス,です,助動詞,助動詞-デス,終止形-一般,和,,デス,(U で:す,デス,デース,1.075,2.027,1.075,2.027,0,I
K008_001b,3,I,IC01_深石,か,カ,か,助詞-終助詞,,,和,,カ,か)。,カ,カ,1.075,2.027,1.075,2.027,0,I
K008_001b,4,B,IC02_鶴賀,ナ,,,言いよどみ,,,,,,(D ナ) ,ナ,ナ,1.206,2.590,1.206,1.896,0,B
K008_001b,5,I,IC02_鶴賀,じゃあ,デ,で,接続詞,,,和,,ジャア,じゃあ ,ジャー,ジャー,1.206,2.590,1.206,1.896,0,B
K008_001b,6,I,IC02_鶴賀,それ,ソレ,其れ,代名詞,,,和,,ソレ,それ,ソレ,ソレ,1.206,2.590,1.206,1.896,0,B
K008_001b,7,I,IC02_鶴賀,久美ちゃんとこ,クミチャントコロ,久美ちゃん所,名詞-普通名詞-一般,,,混,,クミチャントコ,(R 久美)ちゃん(U とこ)。,クミチャントコ,クミチャントコ,1.206,2.590,2.02,2.590,1,B
K008_001b,8,B,IC01_深石,うん,ウン,うん,感動詞-一般,,,和,,ウン,うん。,ウン,ウン,2.027,2.242,2.027,2.242,0,B
K008_001b,9,B,IC02_鶴賀,はい,ハイ,はい,感動詞-一般,,,和,,ハイ,はい。,ハイ,ハイ,2.590,2.727,2.590,2.727,0,B
K008_001b,10,B,IC01_深石,うん,ウン,うん,感動詞-一般,,,和,,ウン,うん。,ウン,ウン,3.065,3.227,3.065,3.227,0,B
K008_001b,11,B,IC02_鶴賀,いい,ヨイ,良い,形容詞-一般,形容詞,終止形-一般,和,,イイ,い:い?。,イー,イーイ,3.822,4.246,3.822,4.246,0,B
K008_001b,12,B,IC03_久美,はい,ハイ,はい,感動詞-一般,,,和,,ハイ,はい。,ハイ,ハイ,4.565,4.725,4.565,4.725,0,B
K008_001b,13,B,IC03_久美,あっ,アッ,あっ,感動詞-一般,,,和,,アッ,あっ。,アッ,アッ,4.837,5.014,4.837,5.014,0,B
K008_001b,14,B,IC03_久美,すいません,スミマセン,済みません,感動詞-一般,,,和,,スイマセヌ,すいません。,スイマセン,スイマセン,5.147,5.778,5.147,5.778,0,B
K008_001b,15,B,IC02_鶴賀,うん,ウン,うん,感動詞-一般,,,和,,ウン,うん。,ウン,ウン,5.161,5.445,5.161,5.445,0,B
K008_001b,16,B,IC01_深石,うん,ウン,うん,感動詞-一般,,,和,,ウン,うん。,ウン,ウン,5.555,5.683,5.555,5.683,0,B
K008_001b,17,B,IC01_深石,ご主人,ゴシュジン,御主人,名詞-普通名詞-一般,,,漢,,ゴシュジン,ご主人,ゴシュジン,ゴシュジン,6.212,7.791,6.212,7.791,0,B
K008_001b,18,I,IC01_深石,取ら,トル,取る,動詞-一般,五段-ラ行,未然形-一般,和,,トル,取ら,トラ,トラ,6.212,7.791,6.212,7.791,0,B
