会話ID,長単位連番,文頭フラグ,話者ラベル,書字形,語彙素読み,語彙素,品詞,活用型,活用形,語種,語彙素細分類,語形,タグ付き書字形,発音形出現形,発音,発話単位の開始時刻,発話単位の終了時刻,転記単位の開始時刻,転記単位の終了時刻,仮名,文節頭フラグ
S001_004,1,B,IC03_大柴,確か,タシカ,確か,形状詞-一般,,,和,,タシカ,確か,タシカ,タシカ,0.094,0.367,0.094,0.367,0,B
S001_004,2,I,IC03_大柴,に,ダ,だ,助動詞,助動詞-ダ,連用形-ニ,和,,ダ,に。,ニ,ニ,0.094,0.367,0.094,0.367,0,I
S001_004,3,B,IC03_大柴,そりゃ,ソレ,其れ,代名詞,,,和,,ソリャ,そりゃ ,ソリャ,ソリャ,2.034,2.917,2.034,2.917,0,B
S001_004,4,I,IC03_大柴,言え,イウ,言う,動詞-一般,下一段-ア行,連用形-一般,和,,イエル,言え,イエ,イエ,2.034,2.917,2.034,2.917,0,B
S001_004,5,I,IC03_大柴,てる,テル,てる,助動詞,下一段-タ行,終止形-一般,和,,テル,てる。,テル,テル,2.034,2.917,2.034,2.917,0,I
S001_004,6,B,IC04_園部,去年,キョネン,去年,名詞-普通名詞-一般,,,漢,,キョネン,去年,キョネン,キョネン,2.894,3.729,2.894,3.729,0,B
S001_004,7,I,IC04_園部,ね,ネ,ね,助詞-終助詞,,,和,,ネ,ね。,ネ,ネ,2.894,3.729,2.894,3.729,0,I
S001_004,8,B,IC03_大柴,そっ,ソウ,そう,副詞,,,和,,ソッ,(T そっ,ソッ,ソッ,4.588,5.667,4.588,5.667,0,B
S001_004,9,I,IC03_大柴,か,カ,か,助詞-終助詞,,,和,,カ,か:)。,カ,カー,4.588,5.667,4.588,5.667,0,I
S001_004,10,B,IC06_ななえ,二百度,ニヒャクド,二百度,名詞-数詞,,,漢,,ニヒャクド,二百度,ニヒャクド,ニヒャクド,6.152,6.865,6.152,6.865,0,B
