会話ID,長単位連番,文頭フラグ,話者ラベル,書字形,語彙素読み,語彙素,品詞,活用型,活用形,語種,語彙素細分類,語形,タグ付き書字形,発音形出現形,発音,発話単位の開始時刻,発話単位の終了時刻,転記単位の開始時刻,転記単位の終了時刻,仮名,文節頭フラグ
T001_002,1,B,IC02_広瀬,はい,ハイ,はい,感動詞-一般,,,和,,ハイ,はい。,ハイ,ハイ,0.077,0.229,0.077,0.229,0,B
T001_002,2,B,IC01_優香,剥がし,ハガス,剥がす,動詞-一般,五段-サ行,連用形-一般,和,,ハガス,剥がし,ハガシ,ハガシ,1.626,2.311,1.626,2.311,0,B
T001_002,3,I,IC01_優香,て,テ,て,助詞-接続助詞,,,和,,テ,て,テ,テ,1.626,2.311,1.626,2.311,0,I
T001_002,4,I,IC01_優香,いい,ヨイ,良い,形容詞-一般,形容詞,終止形-一般,和,,イイ,いい?。,イー,イー,1.626,2.311,1.626,2.311,0,B
T001_002,5,B,IC02_広瀬,じゃあ,デ,で,接続詞,,,和,,ジャア,じゃあ ,ジャー,ジャー,1.753,2.976,1.753,2.976,0,B
T001_002,6,I,IC02_広瀬,組み立て,クミタテル,組み立てる,動詞-一般,下一段-タ行,連用形-一般,和,,クミタテル,組み立て,クミタテ,クミタテ,1.753,2.976,1.753,2.976,0,B
T001_002,7,I,IC02_広瀬,ます,マス,ます,助動詞,助動詞-マス,終止形-一般,和,,マス,ます,マス,マス,1.753,2.976,1.753,2.976,0,I
T001_002,8,I,IC02_広瀬,か,カ,か,助詞-終助詞,,,和,,カ,か。,カ,カ,1.753,2.976,1.753,2.976,0,I
T001_002,9,B,IC01_優香,はい,ハイ,はい,感動詞-一般,,,和,,ハイ,はい。,ハイ,ハイ,10.086,10.290,10.086,10.290,0,B
T001_002,10,B,IC02_広瀬,うん,ウン,うん,感動詞-一般,,,和,,ウン,うん。,ウン,ウン,11.426,11.821,11.426,11.821,0,B
T001_002,11,B,IC02_広瀬,重てえ,オモタイ,重たい,形容詞-一般,形容詞,終止形-一般,和,,オモタイ,(U 重てえ)。,オモテー,オモテー,18.304,18.884,18.304,18.884,0,B
T001_002,12,B,IC02_広瀬,筋トレしすぎ,キントレシスギル,筋トレし過ぎる,動詞-一般,上一段-ガ行,連用形-一般,混,,キントレシスギル,筋トレしすぎ,キントレシスギ,キントレシスギ,19.953,22.557,19.953,22.557,0,B
T001_002,13,I,IC02_広瀬,て,テ,て,助詞-接続助詞,,,和,,テ,て,テ,テ,19.953,22.557,19.953,22.557,0,I
T001_002,14,I,IC02_広瀬,手,テ,手,名詞-普通名詞-一般,,,和,,テ,手,テ,テ,19.953,22.557,19.953,22.557,0,B
T001_002,15,I,IC02_広瀬,に,ニ,に,助詞-格助詞,,,和,,ニ,に,ニ,ニ,19.953,22.557,19.953,22.557,0,I
T001_002,16,I,IC02_広瀬,力,チカラ,力,名詞-普通名詞-一般,,,和,,チカラ,力,チカラ,チカラ,19.953,22.557,19.953,22.557,0,B
T001_002,17,I,IC02_広瀬,入ん,ハイル,入る,動詞-一般,五段-ラ行,未然形-撥音便,和,,ハイル,(U 入ん,ハイン,ハイン,19.953,22.557,19.953,22.557,0,B
T001_002,18,I,IC02_広瀬,ない,ナイ,ない,助動詞,助動詞-ナイ,終止形-一般,和,,ナイ,ない)。,ナイ,ナイ,19.953,22.557,19.953,22.557,0,I
T001_002,19,B,IC01_優香,えー,エエ,ええ,感動詞-一般,,,和,,エエ,えー。,エー,エー,22.609,23.041,22.609,23.041,0,B
T001_002,20,B,IC01_優香,あたし,ワタシ,私,代名詞,,,和,,アタシ,あたし ,アタシ,アタシ,23.041,24.476,23.041,24.476,0,B
T001_002,21,I,IC01_優香,戦力,センリョク,戦力,名詞-普通名詞-一般,,,漢,,センリョク,戦力,センリョク,センリョク,23.041,24.476,23.041,24.476,0,B
T001_002,22,I,IC01_優香,に,ニ,に,助詞-格助詞,,,和,,ニ,に,ニ,ニ,23.041,24.476,23.041,24.476,0,I
T001_002,23,I,IC01_優香,なら,ナル,成る,動詞-一般,五段-ラ行,未然形-一般,和,,ナル,なら,ナラ,ナラ,23.041,24.476,23.041,24.476,0,B
