会話ID,長単位連番,文頭フラグ,話者ラベル,書字形,語彙素読み,語彙素,品詞,活用型,活用形,語種,語彙素細分類,語形,タグ付き書字形,発音形出現形,発音,発話単位の開始時刻,発話単位の終了時刻,転記単位の開始時刻,転記単位の終了時刻,仮名,文節頭フラグ
T016_006a,1,B,IC02_理奈子,じゃあ,デ,で,接続詞,,,和,,ジャア,じゃあ,ジャー,ジャー,1.144,2.173,1.144,1.568,0,B
T016_006a,2,I,IC02_理奈子,とりあえず,トリアエズ,取り敢えず,副詞,,,和,,トリアエズ,とりあえず。,トリアエズ,トリアエズ,1.144,2.173,1.655,2.173,0,B
T016_006a,3,B,IC01_慎吾,とりあえず,トリアエズ,取り敢えず,副詞,,,和,,トリアエズ,(L とりあえず)。,トリアエズ,トリアエズ,2.202,2.960,2.202,2.960,0,B
T016_006a,4,B,IC01_慎吾,はい,ハイ,はい,感動詞-一般,,,和,,ハイ,(T はい)。,ハイ,ハイ,3.780,4.210,3.780,4.210,0,B
T016_006a,5,B,IC02_理奈子,◇,,,形態論情報付与対象外,,,,,,(L ◇),◇,◇,4.693,5.044,4.693,5.044,0,B
T016_006a,6,B,IC01_慎吾,お疲れ,オツカレル,御疲れる,動詞-一般,下一段-ラ行,連用形-一般,和,,オツカレル,お疲れ:。,オツカレ,オツカレー,5.430,6.320,5.430,6.320,0,B
T016_006a,7,B,IC02_理奈子,お疲れさま,オツカレサマ,御疲れ様,名詞-普通名詞-一般,,,和,,オツカレサマ,お疲れさま,オツカレサマ,オツカレサマ,5.714,6.760,5.714,6.760,0,B
T016_006a,8,I,IC02_理奈子,です,デス,です,助動詞,助動詞-デス,終止形-一般,和,,デス,です。,デス,デス,5.714,6.760,5.714,6.760,0,I
T016_006a,9,B,IC01_慎吾,あー,アア,ああ,感動詞-一般,,,和,,アア,あー。,アー,アー,11.290,12.215,11.290,12.215,0,B
T016_006a,10,B,IC01_慎吾,食っ,クウ,食う,動詞-一般,五段-ワア行,連用形-促音便,和,,クウ,(T (U 食っ,クッ,クッ,12.592,13.340,12.592,13.340,0,B
T016_006a,11,I,IC01_慎吾,た,タ,た,助動詞,助動詞-タ,終止形-一般,和,,タ,た))。,タ,タ,12.592,13.340,12.592,13.340,0,I
T016_006a,12,B,IC02_理奈子,冷め,サメル,冷める,動詞-一般,下一段-マ行,連用形-一般,和,,サメル,冷め,サメ,サメ,14.180,14.879,14.180,14.879,0,B
T016_006a,13,I,IC02_理奈子,ちゃっ,チャウ,ちゃう,助動詞,五段-ワア行,連用形-促音便,和,,チャウ,ちゃっ,チャッ,チャッ,14.180,14.879,14.180,14.879,0,I
T016_006a,14,I,IC02_理奈子,た,タ,た,助動詞,助動詞-タ,終止形-一般,和,,タ,た,タ,タ,14.180,14.879,14.180,14.879,0,I
T016_006a,15,I,IC02_理奈子,ね,ネ,ね,助詞-終助詞,,,和,,ネ,ね。,ネ,ネ,14.180,14.879,14.180,14.879,0,I
T016_006a,16,B,IC01_慎吾,うん,ウン,うん,感動詞-一般,,,和,,ウン,うん。,ウン,ウン,15.066,15.326,15.066,15.326,0,B
T016_006a,17,B,IC01_慎吾,ちょっと,チョット,一寸,副詞,,,和,,チョット,(T ちょっと,チョット,チョット,15.453,15.946,15.453,15.946,0,B
T016_006a,18,I,IC01_慎吾,な,ナ,な,助詞-終助詞,,,和,,ナ,な)。,ナ,ナ,15.453,15.946,15.453,15.946,0,I
T016_006a,19,B,IC02_理奈子,どう,ドウ,どう,副詞,,,和,,ドウ,どう,ドー,ドー,23.765,24.173,23.765,24.173,0,B
T016_006a,20,I,IC02_理奈子,だろ,ダ,だ,助動詞,助動詞-ダ,意志推量形,和,,ダ,だろ。,ダロ,ダロ,23.765,24.173,23.765,24.173,0,I
T016_006a,21,B,IC02_理奈子,これ,コレ,此れ,代名詞,,,和,,コレ,これ。,コレ,コレ,24.173,24.633,24.173,24.633,0,B
T016_006a,22,B,IC01_慎吾,じゃあ,デ,で,接続詞,,,和,,ジャア,(T (U じゃあ))。,ジャー,ジャー,25.558,26.011,25.558,26.011,0,B
T016_006a,23,B,IC01_慎吾,あーあ,アア,ああ,感動詞-一般,,,和,,アーア,あーあ。,アーア,アーア,26.532,26.936,26.532,26.936,0,B
T016_006a,24,B,IC01_慎吾,じゃあ,デ,で,接続詞,,,和,,ジャア,じゃあ,ジャー,ジャー,26.936,30.053,26.936,27.866,0,B
T016_006a,25,I,IC01_慎吾,きょう,キョウ,今日,名詞-普通名詞-一般,,,和,,キョウ,きょう,キョー,キョー,26.936,30.053,26.936,27.866,0,B
T016_006a,26,I,IC01_慎吾,は,ハ,は,助詞-係助詞,,,和,,ハ,は,ワ,ワ,26.936,30.053,26.936,27.866,0,I
T016_006a,27,I,IC01_慎吾,結局,ケッキョク,結局,副詞,,,漢,,ケッキョク,(U 結局) ,ケッキョク,ケッキョク,26.936,30.053,28.813,30.053,0,B
T016_006a,28,I,IC01_慎吾,誰,ダレ,誰,代名詞,,,和,,ダレ,誰,ダレ,ダレ,26.936,30.053,28.813,30.053,0,B
T016_006a,29,I,IC01_慎吾,も,モ,も,助詞-係助詞,,,和,,モ,も,モ,モ,26.936,30.053,28.813,30.053,0,I
T016_006a,30,I,IC01_慎吾,い,イル,居る,動詞-一般,上一段-ア行,未然形-一般,和,,イル,い,イ,イ,26.936,30.053,28.813,30.053,0,B
T016_006a,31,I,IC01_慎吾,なかっ,ナイ,ない,助動詞,助動詞-ナイ,連用形-促音便,和,,ナイ,なかっ,ナカッ,ナカッ,26.936,30.053,28.813,30.053,0,I
T016_006a,32,I,IC01_慎吾,た,タ,た,助動詞,助動詞-タ,終止形-一般,和,,タ,た。,タ,タ,26.936,30.053,28.813,30.053,0,I
T016_006a,33,B,IC02_理奈子,うん,ウン,うん,感動詞-一般,,,和,,ウン,うん。,ウン,ウン,27.938,28.245,27.938,28.245,0,B
T016_006a,34,B,IC01_慎吾,会社,カイシャ,会社,名詞-普通名詞-一般,,,漢,,カイシャ,会社。,カイシャ,カイシャ,30.446,30.826,30.446,30.826,0,B
T016_006a,35,B,IC02_理奈子,あ,アッ,あっ,感動詞-一般,,,和,,ア,あ。,ア,ア,31.278,31.386,31.278,31.386,0,B
T016_006a,36,B,IC02_理奈子,そう,ソウ,そう,副詞,,,和,,ソウ,そう。,ソー,ソー,31.386,31.614,31.386,31.614,0,B
T016_006a,37,B,IC01_慎吾,うん,ウン,うん,感動詞-一般,,,和,,ウン,うん。,ウン,ウン,31.993,32.286,31.993,32.286,0,B
T016_006a,38,B,IC02_理奈子,あれっ,アレ,あれ,感動詞-一般,,,和,,アレッ,あれっ。,アレッ,アレッ,36.477,36.699,36.477,36.699,0,B
T016_006a,39,B,IC02_理奈子,きょう,キョウ,今日,名詞-普通名詞-一般,,,和,,キョウ,きょう。,キョー,キョー,36.734,37.117,36.734,37.117,0,B
T016_006a,40,B,IC02_理奈子,あっ,アッ,あっ,感動詞-一般,,,和,,アッ,あっ。,アッ,アッ,38.107,38.183,38.107,38.183,0,B
T016_006a,41,B,IC02_理奈子,そう,ソウ,そう,副詞,,,和,,ソウ,そう,ソー,ソー,38.183,38.443,38.183,38.443,0,B
T016_006a,42,I,IC02_理奈子,か,カ,か,助詞-終助詞,,,和,,カ,か。,カ,カ,38.183,38.443,38.183,38.443,0,I
T016_006a,43,B,IC02_理奈子,きのう,キノウ,昨日,副詞,,,和,,キノウ,きのう:,キノー,キノー,38.486,39.997,38.486,39.997,0,B
T016_006a,44,I,IC02_理奈子,も,モ,も,助詞-係助詞,,,和,,モ,も,モ,モ,38.486,39.997,38.486,39.997,0,I
