会話ID,長単位連番,文頭フラグ,話者ラベル,書字形,語彙素読み,語彙素,品詞,活用型,活用形,語種,語彙素細分類,語形,タグ付き書字形,発音形出現形,発音,発話単位の開始時刻,発話単位の終了時刻,転記単位の開始時刻,転記単位の終了時刻,仮名,文節頭フラグ
W001_003a,1,B,IC01_松川,えっと,エート,えーと,感動詞-フィラー,,,和,,エット,えっと: ,エット,エットー,0.947,4.040,0.947,4.040,0,B
W001_003a,2,I,IC01_松川,では,デハ,では,接続詞,,,和,,デハ,では ,デワ,デワ,0.947,4.040,0.947,4.040,0,B
W001_003a,3,I,IC01_松川,あの,アノ,あの,感動詞-フィラー,,,和,,アノ,(F あの) ,アノ,アノ,0.947,4.040,0.947,4.040,0,B
W001_003a,4,I,IC01_松川,広報室会議,コウホウシツカイギ,広報室会議,名詞-普通名詞-一般,,,漢,,コウホウシツカイギ,(W コホー|広報)室会議,コーホーシツカイギ,コホーシツカイギ,0.947,4.040,0.947,4.040,0,B
W001_003a,5,I,IC01_松川,を,ヲ,を,助詞-格助詞,,,和,,ヲ,を,オ,オ,0.947,4.040,0.947,4.040,0,I
W001_003a,6,I,IC01_松川,始め,ハジメル,始める,動詞-一般,下一段-マ行,連用形-一般,和,,ハジメル,始め,ハジメ,ハジメ,0.947,4.040,0.947,4.040,0,B
W001_003a,7,I,IC01_松川,たい,タイ,たい,助動詞,助動詞-タイ,終止形-一般,和,,タイ,たい,タイ,タイ,0.947,4.040,0.947,4.040,0,I
W001_003a,8,I,IC01_松川,と,ト,と,助詞-格助詞,,,和,,ト,と,ト,ト,0.947,4.040,0.947,4.040,0,I
W001_003a,9,I,IC01_松川,思い,オモウ,思う,動詞-一般,五段-ワア行,連用形-一般,和,,オモウ,思い,オモイ,オモイ,0.947,4.040,0.947,4.040,0,B
W001_003a,10,I,IC01_松川,ます,マス,ます,助動詞,助動詞-マス,終止形-一般,和,,マス,ます。,マス,マス,0.947,4.040,0.947,4.040,0,I
W001_003a,11,B,IC01_松川,えと,エート,えーと,感動詞-フィラー,,,和,,エト,えと: ,エト,エトー,4.679,8.820,4.679,8.820,0,B
W001_003a,12,I,IC01_松川,お忙しい,オイソガシイ,御忙しい,形容詞-一般,形容詞,連体形-一般,和,,オイソガシイ,お忙しい,オイソガシー,オイソガシー,4.679,8.820,4.679,8.820,0,B
W001_003a,13,I,IC01_松川,ところ,トコロ,所,名詞-普通名詞-一般,,,和,,トコロ,ところ,トコロ,トコロ,4.679,8.820,4.679,8.820,0,B
W001_003a,14,I,IC01_松川,お集まりいただき,オアツマリイタダク,御集まり頂く,動詞-一般,五段-カ行,連用形-一般,和,,オアツマリイタダク,お集まりいただき,オアツマリイタダキ,オアツマリイタダキ,4.679,8.820,4.679,8.820,0,B
W001_003a,15,I,IC01_松川,まし,マス,ます,助動詞,助動詞-マス,連用形-一般,和,,マス,まし,マシ,マシ,4.679,8.820,4.679,8.820,0,I
W001_003a,16,I,IC01_松川,て,テ,て,助詞-接続助詞,,,和,,テ,て ,テ,テ,4.679,8.820,4.679,8.820,0,I
W001_003a,17,I,IC01_松川,どう,ドウ,どう,副詞,,,和,,ドウ,どう,ドー,ドー,4.679,8.820,4.679,8.820,0,B
W001_003a,18,I,IC01_松川,も,モ,も,助詞-係助詞,,,和,,モ,も,モ,モ,4.679,8.820,4.679,8.820,0,I
W001_003a,19,I,IC01_松川,ありがとう,アリガトウ,有り難う,感動詞-一般,,,和,,アリガトウ,ありがとう,アリガトー,アリガトー,4.679,8.820,4.679,8.820,0,B
W001_003a,20,I,IC01_松川,ござい,ゴザル,御座る,動詞-一般,五段-ラ行,連用形-イ音便,混,,ゴザル,ござい,ゴザイ,ゴザイ,4.679,8.820,4.679,8.820,0,B
W001_003a,21,I,IC01_松川,ます,マス,ます,助動詞,助動詞-マス,終止形-一般,和,,マス,ます。,マス,マス,4.679,8.820,4.679,8.820,0,I
W001_003a,22,B,IC01_松川,えっと,エート,えーと,感動詞-フィラー,,,和,,エット,えっと: ,エット,エットー,9.841,13.358,9.841,13.358,0,B
W001_003a,23,I,IC01_松川,で,デ,で,助詞-格助詞,,,和,,デ,で,デ,デ,9.841,13.358,9.841,13.358,0,B
