会話ID,長単位連番,文頭フラグ,話者ラベル,書字形,語彙素読み,語彙素,品詞,活用型,活用形,語種,語彙素細分類,語形,タグ付き書字形,発音形出現形,発音,発話単位の開始時刻,発話単位の終了時刻,転記単位の開始時刻,転記単位の終了時刻,仮名,文節頭フラグ
W009_001,1,B,IC02_里奈,え,エッ,えっ,感動詞-一般,,,和,,エ,え。,エ,エ,0.270,0.360,0.270,0.360,0,B
W009_001,2,B,IC02_里奈,待っ,マツ,待つ,動詞-一般,五段-タ行,連用形-促音便,和,,マツ,待っ,マッ,マッ,0.360,0.734,0.360,0.734,0,B
W009_001,3,I,IC02_里奈,て,テ,て,助詞-接続助詞,,,和,,テ,て。,テ,テ,0.360,0.734,0.360,0.734,0,I
W009_001,4,B,IC02_里奈,誕生日,タンジョウビ,誕生日,名詞-普通名詞-一般,,,混,,タンジョウビ,誕生日,タンジョービ,タンジョービ,0.765,5.187,0.765,2.077,0,B
W009_001,5,I,IC02_里奈,に,ニ,に,助詞-格助詞,,,和,,ニ,に,ニ,ニ,0.765,5.187,0.765,2.077,0,I
W009_001,6,I,IC02_里奈,さ,サ,さ,助詞-終助詞,,,和,,サ,さ:,サ,サー,0.765,5.187,0.765,2.077,0,I
W009_001,7,I,IC02_里奈,旅館,リョカン,旅館,名詞-普通名詞-一般,,,漢,,リョカン,旅館,リョカン,リョカン,0.765,5.187,2.395,3.063,0,B
W009_001,8,I,IC02_里奈,を,ヲ,を,助詞-格助詞,,,和,,ヲ,を,オ,オ,0.765,5.187,2.395,3.063,0,I
W009_001,9,I,IC02_里奈,予約し,ヨヤクスル,予約する,動詞-一般,サ行変格,連用形-一般,混,,ヨヤクスル,予約し,ヨヤクシ,ヨヤクシ,0.765,5.187,3.186,5.187,0,B
W009_001,10,I,IC02_里奈,てくれる,テクレル,てくれる,助動詞,下一段-ラ行,連体形-一般,和,,テクレル,てくれる,テクレル,テクレル,0.765,5.187,3.186,5.187,0,I
W009_001,11,I,IC02_里奈,彼氏,カレシ,彼氏,名詞-普通名詞-一般,,,混,,カレシ,彼氏,カレシ,カレシ,0.765,5.187,3.186,5.187,0,B
W009_001,12,I,IC02_里奈,が,ガ,が,助詞-格助詞,,,和,,ガ,が,ガ,ガ,0.765,5.187,3.186,5.187,0,I
W009_001,13,I,IC02_里奈,いる,イル,居る,動詞-一般,上一段-ア行,終止形-一般,和,,イル,いる。,イル,イル,0.765,5.187,3.186,5.187,0,B
W009_001,14,B,IC03_奈々,うーん,ウン,うん,感動詞-一般,,,和,,ウーン,うーん。,ウーン,ウーン,2.250,2.612,2.250,2.612,0,B
W009_001,15,B,IC02_里奈,いい,ヨイ,良い,形容詞-一般,形容詞,終止形-一般,和,,イイ,いい,イー,イー,5.711,6.436,5.711,6.436,0,B
W009_001,16,I,IC02_里奈,な,ナ,な,助詞-終助詞,,,和,,ナ,な:。,ナ,ナー,5.711,6.436,5.711,6.436,0,I
